source,region,collected_at,material_code,external_id,title,url,currency,raw_price,package_quantity,package_unit,brand,seller
MERCADOLIBRE,GBA,2026-08-25,LADRILLO_HUECO_12X18X33,MLA2091220516,"Ladrillo Huecos Por Unidad 12x18x33 9",https://www.mercadolibre.com.ar/ladrillo-huecos-por-unidad-12x18x33-9/p/MLA2091220516,ARS,2850,1,UNIT,Easy,THE FISHEMAN
MERCADOLIBRE,GBA,2026-08-25,CEMENTO_PORTLAND_25KG,MLA53674271,"Bolsa Cemento Avellaneda X 25 Kg",https://www.mercadolibre.com.ar/bolsa-cemento-avellaneda-x-25-kg/p/MLA53674271,ARS,22000,1,BAG_25KG,Cementos Avellaneda S.A,SANITARIOSLAPRIMERA
MERCADOLIBRE,GBA,2026-08-25,CAL_HIDRATADA_25KG,MLA35559872,"Bolsa Cal Hidrat X 25 Kg",https://www.mercadolibre.com.ar/bolsa-cal-hidrat-x-25-kg/p/MLA35559872,ARS,3500,1,BAG_25KG,Hidrat,BETCEVE
MERCADOLIBRE,GBA,2026-08-25,ARENA,MLAU256624573,"Arena Fina Construccion Bolson + (seña Por Bolson)",https://www.mercadolibre.com.ar/up/MLAU256624573,ARS,45000,1,M3,,corralondemar
MERCADOLIBRE,GBA,2026-08-25,PIEDRA_BOLA,MLAU365715250,"Piedra En Bolsón X 900kg Zona Oeste Capital",https://www.mercadolibre.com.ar/piedra-en-bolson-x-900kg-zona-oeste-capital/up/MLAU365715250,ARS,67684,1,M3,Materiales Nuciari,
MERCADOLIBRE,GBA,2026-08-25,ACERO_LOSA_ADL15,MLAU282801822,"Varilla De Hierro Aletado 8mm Construccion",https://www.mercadolibre.com.ar/varilla-de-hierro-aletado-8mm-construccion/up/MLAU282801822,ARS,14403,4.74,KG,Acerbrag,
MERCADOLIBRE,GBA,2026-08-25,CHAPA_TRAPEZOIDAL_C25,MLA68974171,"Chapa Trapezoidal Color C25 Largo 2,00 Mts Ternium Color Negra",https://www.mercadolibre.com.ar/chapa-trapezoidal-color-c25-largo-200-mts-ternium-color-negra/p/MLA68974171,ARS,60298,2,METER,Ternium,Provecom
MERCADOLIBRE,GBA,2026-08-25,TIRANTE_MADERA_2X4,MLAU267215675,"Tirante De Madera Pino Cepillado 2 X 4 X 3.05 Mts Techos",https://www.mercadolibre.com.ar/tirante-de-madera-pino-cepillado-2-x-4-x-305-mts-techos/up/MLAU267215675,ARS,7600,3.05,METER,Pino,
MERCADOLIBRE,GBA,2026-08-25,TORNILLO_AUTOPERFORANTE,MLAU3919414290,"Tornillo Autoperf Hex Pta Mecha 14 X 2 1/2 (6,3 X 63mm)",https://www.mercadolibre.com.ar/tornillo-autoperf-hex-pta-mecha-14-x-2-12--63-x-63mm/up/MLAU3919414290,ARS,23999,200,UNIT,Cambell,FERRETERIA LAURE
MERCADOLIBRE,GBA,2026-08-25,FILM_BARRERA_HIDRICA,MLA2089996126,"Film Nylon Negro Polietileno Aislante 4 X Metro 200 Micrones",https://www.mercadolibre.com.ar/film-nylon-negro-polietileno-aislante-4-x-metro-200-micrones/p/MLA2089996126,ARS,5980,4,M2,Mayorista-Plast,MAYORISTA-PLAST
MERCADOLIBRE,GBA,2026-08-25,INODORO_COMPLETO,MLA66064853,"Inodoro Largo de Loza Sanitaria con Tanque y Asiento, Modelo Delfi en Blanco",https://www.mercadolibre.com.ar/inodoro-largo-de-loza-sanitaria-con-tanque-y-asiento-modelo-delfi-en-blanco/p/MLA66064853,ARS,209999,1,UNIT,Global Sanitarios,
MERCADOLIBRE,GBA,2026-08-25,LAVATORIO_PEDESTAL,MLAU3381299035,"Bacha De Baño Aries M-311 Blanca 61x47,5x87,5cm C/pedestal",https://www.mercadolibre.com.ar/bacha-de-bano-aries-m311-blanca-61x475x875cm-cpedestal/up/MLAU3381299035,ARS,142000,1,UNIT,Aries,ARIES 123
MERCADOLIBRE,GBA,2026-08-25,GRIFERIA_LAVATORIO,MLA22798151,"Grifería Para Baño Completo Hydros Lavatorio - 344211 - De mesa lavamanos Canilla Viva Nova",https://www.mercadolibre.com.ar/griferia-para-bano-completo-hydros-lavatorio-344211-de-mesa-lavamanos-canilla-viva-nova/p/MLA22798151,ARS,41891,1,UNIT,Hydros,GRAMABI
MERCADOLIBRE,GBA,2026-08-25,DUCHA_JUEGO,MLAU234753459,"Juego Griferia Baño Combo Peirano Pura Baño Bidet Ducha",https://www.mercadolibre.com.ar/juego-griferia-bano-combo-peirano-pura-bano-bidet-ducha/up/MLAU234753459,ARS,224858,1,UNIT,Peirano,
MERCADOLIBRE,GBA,2026-08-25,CANO_PVC_100_4M,MLA29748381,"Caño Desague 110 X 4 Mt C/ Oring Awaduct Cloacal Y Pluvial",https://www.mercadolibre.com.ar/cano-desague-110-x-4-mt-c-oring-awaduct-cloacal-y-pluvial/p/MLA29748381,ARS,32999,1,UNIT,Awaduct,SANITARIOSLAPRIMERA
MERCADOLIBRE,GBA,2026-08-25,CANO_PVC_20_3M,MLA28678738,"Caño Rigido Pvc 20mm Kalop X 3mts Exterior X 30 Unidades",https://www.mercadolibre.com.ar/cano-rigido-pvc-20mm-kalop-x-3mts-exterior-x-30-unidades/p/MLA28678738,ARS,74273,30,UNIT,Kalop,
MERCADOLIBRE,GBA,2026-08-25,DESAGUE_PISO,MLA40332783,"Rejilla Piso Acero Inox 10x10cm Inomax Anti Pelo Bichos Olor",https://www.mercadolibre.com.ar/rejilla-piso-acero-inox-10x10cm-inomax-anti-pelo-bichos-olor/p/MLA40332783,ARS,7428,1,UNIT,Inomax,
MERCADOLIBRE,GBA,2026-08-25,SIFON_LAVATORIO,MLA27087834,"Sifon Simple Pvc Regulable - Duke Color Blanco",https://www.mercadolibre.com.ar/sifon-simple-pvc-regulable-duke-color-blanco/p/MLA27087834,ARS,9050,1,UNIT,Duke,sanitariosnuevacelina
MERCADOLIBRE,GBA,2026-08-25,CERAMICA_PISO,MLAU3647535113,"Ceramica Scop Asturias Deco 45,3x45,3 Calcareo M2 1ra",https://www.mercadolibre.com.ar/ceramica-scop-asturias-deco-453x453-calcareo-m2-1ra/up/MLAU3647535113,ARS,11258,1,M2,San Lorenzo,
MERCADOLIBRE,GBA,2026-08-25,CERAMICA_PARED,MLAU259623289,"Cerámica 33x33 Azul Simil Venecita Revestimiento Pileta",https://www.mercadolibre.com.ar/ceramica-33x33-azul-simil-venecita-revestimiento-pileta/up/MLAU259623289,ARS,20630,1,M2,Tuazulejo,
MERCADOLIBRE,GBA,2026-08-25,PEGAMENTO_CERAMICO_25KG,MLA45718445,"Pegamento Adhesivo Impermeable Potenciado 25 Kg Klaukol Sika",https://www.mercadolibre.com.ar/pegamento-adhesivo-impermeable-potenciado-25-kg-klaukol-sika/p/MLA45718445,ARS,23850,1,BAG_25KG,Klaukol,corralondemar
MERCADOLIBRE,GBA,2026-08-25,PASTINA,MLA23868093,"Sinteplast Pastina Acrilica Lista Para Usar Color Blanco 1.25 Kg",https://www.mercadolibre.com.ar/sinteplast-pastina-acrilica-lista-para-usar-color-blanco-125-kg/p/MLA23868093,ARS,16335.25,1.25,KG,Sinteplast,
